produktlink-href,Title,Members_price,Price
https://www.skalk.dk/webshoppen/produkter/imports/9788797146613-krigens-sidste-aar/,Krigens sidste år,"Medlemspris: 340,00 kr.","Pris: 400,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712060642-poul-og-kaerligheden/,Poul og kærligheden,"Medlemspris: 297,50 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793286146-bronzealderens-helleristninger-som-solkalender/,Bronzealderens helleristninger som solkalender,"Medlemspris: 300,00 kr.","Pris: 325,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740037319-de-sidste-fiskere/,De sidste fiskere,"Medlemspris: 255,00 kr.","Pris: 300,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702179101-tommy-og-tanne/,Tommy og Tanne,"Medlemspris: 297,50 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702075731-maersk-mc-kinney-moeller/,Mærsk Mc-Kinney Møller,"Medlemspris: 297,50 kr.","Pris: 350,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788799881673-de-foerste-og-stoerste-fund/,De første og største fund,"Medlemspris: 299,00 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788770170123-det-kan-ikke-ske-i-danmark/,Det kan ikke ske i Danmark,"Medlemspris: 127,50 kr.","Pris: 149,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788799455515-nord%C3%B8stgr%C3%B8nland-1908-60/,NORDØSTGRØNLAND 1908-60,"Medlemspris: 531,25 kr.","Pris: 590,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531052-roskildekroeniken/,Roskildekrøniken,"Medlemspris: 128,00 kr.","Pris: 159,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788791011016-koebenhavns-bombardement-1807/,Københavns Bombardement 1807,"Medlemspris: 133,75 kr.","Pris: 149,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740620610-horsens-i-aartier-1950erne/,Horsens i årtier - 1950'erne,"Medlemspris: 280,00 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531045-braet-og-brik/,Bræt og brik,"Medlemspris: 102,00 kr.","Pris: 128,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712049555-danmark-og-kolonierne-groenland/,Danmark og kolonierne - Grønland,"Medlemspris: 297,50 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788712058236-soefartshistorier/,Søfartshistorier,"Medlemspris: 297,50 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793423503-kuml-2020/,KUML 2020,"Medlemspris: 180,00 kr.","Pris: 200,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531281-herr-stankelbeens-maerkvaerdige-reiser-og-selsomme-eventyr-til-lands-og-vands/,Herr Stankelbeens mærkværdige Reiser og selsomme Eventyr til Lands og Vands,"Medlemspris: 88,00 kr.","Pris: 113,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788772183008-med-morfar-ved-kulkysten/,Med morfar ved kulkysten,"Medlemspris: 112,50 kr.","Pris: 149,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702199871-karen-blixens-blomster/,Karen Blixens Blomster,"Medlemspris: 234,00 kr.","Pris: 259,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740669763-med-fornoeden-dristighed/,Med fornøden dristighed,"Medlemspris: 279,96 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788789531342-droemte-mig-en-droem/,Drømte mig en drøm,"Medlemspris: 62,50 kr.","Pris: 80,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788792000781-farvel-og-tak/,Farvel og tak,"Medlemspris: 101,25 kr.","Pris: 120,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740666090-vikingernes-stoerste-slag/,Vikingernes største slag,"Medlemspris: 295,00 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788785160768-sjaellandske-kroenike/,Sjællandske Krønike,"Medlemspris: 140,00 kr.","Pris: 177,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788793755123-livet-paa-hirsholm-i-1697/,Livet på Hirsholm i 1697,"Medlemspris: 109,44 kr.","Pris: 129,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702176025-herluf-trolle/,Herluf Trolle,"Medlemspris: 270,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788763538916-danmark-og-faeroeerne/,Danmark og Færøerne,"Medlemspris: 140,00 kr.","Pris: 175,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788799933624-sveriges-cisterciencerklostre/,Sveriges cisterciencerklostre,"Medlemspris: 253,94 kr.","Pris: 298,00 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788711890356-dansk-vestindien-historien-og-oeerne/,Dansk Vestindien: Historien og øerne,"Medlemspris: 270,00 kr.","Pris: 299,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788740618228-aarhus-i-aartier-1970erne/,Aarhus i årtier - 1970'erne,"Medlemspris: 280,00 kr.","Pris: 349,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788711917046-dronning-margrethe/,Dronning Margrethe,"Medlemspris: 320,00 kr.","Pris: 399,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788702124378-amalienborg-dansk-udgave/,Amalienborg - dansk udgave,"Medlemspris: 170,00 kr.","Pris: 199,95 kr."
https://www.skalk.dk/webshoppen/produkter/imports/9788763507813-danske-kongegrave-i-iii/,Danske Kongegrave I-III,"Medlemspris: 920,00 kr.","Pris: 1.150,00 kr."
